Date,RSI,RSI_signal,MACD,MACD_signal_line,MACD_signal,ROC,ROC_signal,BB_upper,BB_lower,BB_signal,indicator_signal
2022-01-03,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-04,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-05,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-06,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-07,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-10,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-11,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-12,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-13,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-14,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-18,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-19,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-20,,Neutral,,,Neutral,-9.614870408760096,Bearish,,,Neutral,-1
2022-01-21,14.597371710483827,Oversold,,,Neutral,-9.621580513747626,Bearish,,,Neutral,0
2022-01-24,13.969098391698324,Oversold,,,Neutral,-7.603487186655451,Bearish,,,Neutral,0
2022-01-25,12.608051165339262,Oversold,,,Neutral,-7.1046525174145865,Bearish,,,Neutral,0
2022-01-26,12.543680070086111,Oversold,,,Neutral,-7.24866180383617,Bearish,,,Neutral,0
2022-01-27,12.193522604878694,Oversold,,,Neutral,-7.532360578016759,Bearish,,,Neutral,0
2022-01-28,48.66976822264323,Neutral,,,Neutral,-2.713055157361848,Bearish,,,Neutral,-1
2022-01-31,56.46995322931019,Neutral,,,Neutral,-0.4272854324965772,Bearish,179.11183728318602,153.31994830031007,Neutral,-1
2022-02-01,56.11914098121198,Neutral,,,Neutral,1.4054582824388215,Bullish,177.76330509395285,153.94436549930884,Neutral,1
2022-02-02,58.14538356087864,Neutral,,,Neutral,1.6005209892236032,Bullish,177.04275011075396,154.28720899569134,Neutral,1
2022-02-03,51.96840505382057,Neutral,,,Neutral,1.8257022108184455,Bullish,176.78429235838624,154.34800439454344,Neutral,1
2022-02-04,51.387712373030794,Neutral,,,Neutral,3.837821662551687,Bullish,176.84625434146812,154.34569817318032,Neutral,1
2022-02-07,49.877056410213285,Neutral,,,Neutral,4.479212855739193,Bullish,176.81809083160564,154.34535673919513,Neutral,1
2022-02-08,55.93504422742193,Neutral,-0.6172501608003245,,Neutral,7.784438726768957,Bullish,177.16778048274819,154.27580014469322,Neutral,1
2022-02-09,58.41117361383847,Neutral,-0.1743463333528723,,Neutral,9.209645407478781,Bullish,177.389029547983,154.19395385045448,Neutral,1
2022-02-10,49.77041119128117,Neutral,-0.15049785525843618,,Neutral,7.860390414267051,Bullish,176.98868883289973,154.28207227549873,Neutral,1
2022-02-11,43.917532101800305,Neutral,-0.4020955973498701,,Neutral,5.7391528344572,Bullish,176.7500161252181,154.19439152859047,Neutral,1
2022-02-14,44.40315392914093,Neutral,-0.5758741725318259,,Neutral,6.202224707416961,Bullish,176.41422893628177,154.14122455492915,Neutral,1
2022-02-15,51.73502800781356,Neutral,-0.39986012967588636,,Neutral,1.5735085669735587,Bullish,176.70420420345528,154.16537587466973,Neutral,1
2022-02-16,51.287923255139454,Neutral,-0.2761592386408438,,Neutral,-1.1501134937573527,Bearish,177.05449504186168,154.45503102015005,Neutral,-1
2022-02-17,44.89819796508401,Neutral,-0.4629394921660719,,Neutral,-3.158378391170644,Bearish,177.06685026102107,154.89135591573674,Neutral,-1
2022-02-18,42.44636489188298,Neutral,-0.7274952306053137,-0.48815120389946554,Bearish,-4.735500986740066,Bearish,176.88638749858,155.57117780903718,Neutral,-1
2022-02-22,38.20839200023261,Neutral,-1.1593925523755217,-0.6223994735946768,Bearish,-4.841339958643519,Bearish,176.66316703369358,156.07909065673613,Neutral,-1
2022-02-23,33.128290865789396,Neutral,-1.816737120117125,-0.8612670028991665,Bearish,-7.146573320718333,Bearish,176.5949556372951,156.19563884512675,Neutral,-1
2022-02-24,38.64728253215017,Neutral,-2.102359915289526,-1.1094855853772383,Bearish,-5.196304137505072,Bearish,176.2006273993501,156.90871403131396,Neutral,-1
2022-02-25,42.673758094792205,Neutral,-2.137262948775117,-1.3150410580568141,Bearish,-5.708372928788042,Bearish,175.48169516056268,158.19911996394902,Neutral,-1
2022-02-28,43.187534389526775,Neutral,-2.1191505388952976,-1.475862954224511,Bearish,-6.330832084122262,Bearish,175.51455986934658,157.67702643436436,Neutral,-1
2022-03-01,40.413570030124994,Neutral,-2.2308781009683116,-1.6268659835732713,Bearish,-5.182443472355205,Bearish,175.16847786899373,156.91030783657268,Neutral,-1
2022-03-02,46.84755299199797,Neutral,-2.0303768956458725,-1.7075681659877915,Bearish,-1.2334039705523416,Bearish,174.5845179830873,156.72730605255722,Neutral,-1
2022-03-03,46.31855213286317,Neutral,-1.87594386339606,-1.7412433054694454,Bearish,-1.569183863380063,Bearish,173.6936598165879,156.6985063211074,Neutral,-1
2022-03-04,41.62499248414639,Neutral,-1.9727351309630023,-1.7875416705681568,Bearish,-5.567439738420192,Bearish,173.32216381174547,156.13822742360608,Neutral,-1
2022-03-07,36.576802365225056,Neutral,-2.328565495241463,-1.8957464355028182,Bearish,-7.678926246216594,Bearish,173.23537073420658,154.942484185227,Neutral,-1
2022-03-08,34.41640721835084,Neutral,-2.726190483590358,-2.061835245120326,Bearish,-6.774043591555537,Bearish,173.27587614752943,153.50872468254872,Neutral,-1
2022-03-09,44.8149645639978,Neutral,-2.575991924223871,-2.1646665809410353,Bearish,-2.600096104026185,Bearish,172.11780961657345,153.5028111109656,Neutral,-1
2022-03-10,39.40533857995314,Neutral,-2.77520479053436,-2.2867742228597003,Bearish,-3.529672566387617,Bearish,170.61262537734905,153.2678998301705,Neutral,-1
2022-03-11,35.4614653029286,Neutral,-3.1958821571849114,-2.468595809724743,Bearish,-3.3360344983757497,Bearish,170.2917991408146,151.88488085186117,Oversold,-1
2022-03-14,31.750351064724725,Neutral,-3.8102890989388243,-2.736934467567559,Bearish,-7.447477570225286,Bearish,170.91422470449058,149.49688521982583,Oversold,-1
2022-03-15,39.2025082008737,Neutral,-3.898867075503148,-2.969320989154677,Bearish,-5.920552181666272,Bearish,170.52683884412235,148.53314803331907,Neutral,-1
2022-03-16,45.63777387979767,Neutral,-3.572118197184608,-3.0898804307606635,Bearish,-3.349100612418826,Bearish,168.99195244066723,148.77471778638355,Neutral,-1
2022-03-17,47.020046803587945,Neutral,-3.1949080490860524,-3.1108859544257417,Bearish,-1.580903462562866,Bearish,167.27406997104612,149.32371445278199,Neutral,-1
2022-03-18,51.364650786210554,Neutral,-2.600345023039978,-3.008777768148589,Bullish,-1.5489748535975987,Bearish,166.49504908133866,149.62264043282147,Neutral,0
2022-03-21,53.090756061645386,Neutral,-1.9954620398531233,-2.8061146224894964,Bullish,-0.5113165212938312,Bearish,166.176555159695,149.75301789938703,Neutral,0
2022-03-22,57.11795628864052,Neutral,-1.2299425264631907,-2.4908802032842354,Bullish,3.462635921955734,Bullish,166.93031897461813,149.44015832030377,Neutral,1
2022-03-23,58.662236872917674,Neutral,-0.5075202910003611,-2.094208220827461,Bullish,6.848695814715219,Bullish,168.16148335494168,149.20249216996066,Neutral,1
2022-03-24,62.68146985378425,Neutral,0.36596156362892884,-1.602174263936183,Bullish,10.562758144519881,Bullish,170.03914933315147,148.43491988071574,Overbought,1
2022-03-25,63.32806839284278,Neutral,1.0969462758322663,-1.062350155982493,Bullish,7.223060609507025,Bullish,171.6903227669448,147.7507905143052,Neutral,1
2022-03-28,64.23164945751438,Neutral,1.7259348186414627,-0.5046931610577019,Bullish,10.774647783545237,Bullish,173.34025496266005,147.12767106273057,Neutral,1
2022-03-29,67.52214699282918,Neutral,2.46167970389655,0.0885814119331485,Bullish,15.659529959254762,Bullish,175.6696084737658,146.3424597025037,Neutral,1
2022-03-30,65.2332745080882,Neutral,2.917055269024843,0.6542761833514874,Bullish,18.02550487334675,Bullish,177.2888908499404,145.82152022183692,Neutral,1
2022-03-31,59.46842926925419,Neutral,2.9936046598785424,1.1221418786568984,Bullish,12.586251616582361,Bullish,178.23455192311098,145.69692390696713,Neutral,1
2022-04-01,58.93588593052287,Neutral,2.996014254890383,1.4969163539035955,Bullish,9.223643561164144,Bullish,179.18978721813082,145.8331665782559,Neutral,1
2022-04-04,63.74841352450411,Neutral,3.2865591407836803,1.8548449112796124,Bullish,11.094541825090264,Bullish,180.6752297303772,146.22303229354858,Neutral,1
2022-04-05,57.780226579476604,Neutral,3.2125598561696904,2.1263879002576282,Bullish,6.756915386767612,Bullish,181.33851546980745,147.28612594864958,Neutral,1
2022-04-06,52.70244791401821,Neutral,2.865516653105402,2.274213650827183,Bullish,3.9000900440916593,Bullish,181.71993081993682,147.7747545438327,Neutral,1
2022-04-07,53.128181740652714,Neutral,2.5851901176096703,2.33640894418368,Bullish,1.9665727194365232,Bullish,181.89358507849914,148.93556073448912,Neutral,1
2022-04-08,49.927610098449215,Neutral,2.1758731865830043,2.304301792663545,Bearish,-0.07050720168939136,Bearish,181.38026305689797,150.95382660374653,Neutral,-1
