Date,RSI,RSI_signal,MACD,MACD_signal_line,MACD_signal,ROC,ROC_signal,BB_upper,BB_lower,BB_signal,indicator_signal
2022-01-03,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-04,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-05,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-06,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-07,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-10,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-11,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-12,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-13,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-14,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-18,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-19,,Neutral,,,Neutral,,Neutral,,,Neutral,0
2022-01-20,,Neutral,,,Neutral,-16.96227724855257,Bearish,,,Neutral,-1
2022-01-21,21.343385217073475,Oversold,,,Neutral,-17.892464099323796,Bearish,,,Neutral,0
2022-01-24,20.293658904453835,Oversold,,,Neutral,-14.531485114392959,Bearish,,,Neutral,0
2022-01-25,19.434611868184078,Oversold,,,Neutral,-13.740958984597867,Bearish,,,Neutral,0
2022-01-26,25.03506973483283,Oversold,,,Neutral,-8.719912790619928,Bearish,,,Neutral,0
2022-01-27,17.549671484999337,Oversold,,,Neutral,-21.64404699566307,Bearish,,,Neutral,0
2022-01-28,21.571691179284855,Oversold,,,Neutral,-20.485716345122512,Bearish,,,Neutral,0
2022-01-31,38.49795345871928,Neutral,,,Neutral,-15.32244982815344,Bearish,398.46979151830215,274.97586888208843,Neutral,-1
2022-02-01,37.96387295846248,Neutral,,,Neutral,-9.724109922212659,Bearish,387.67317918685654,276.8214802369716,Neutral,-1
2022-02-02,35.48378810686313,Neutral,,,Neutral,-13.714619164833493,Bearish,379.8645054494855,276.4991542184832,Neutral,-1
2022-02-03,34.12169325911857,Neutral,,,Neutral,-13.524371226262597,Bearish,375.7267106980956,274.0709486036622,Neutral,-1
2022-02-04,39.65078922879712,Neutral,,,Neutral,-7.264596645215014,Bearish,371.9379094845038,273.1470850223322,Neutral,-1
2022-02-07,37.947563354966626,Neutral,,,Neutral,-8.926297507104671,Bearish,369.8088184805365,271.28884082122136,Neutral,-1
2022-02-08,40.473779779360044,Neutral,-18.403274392734318,,Neutral,-2.3201571692464675,Bearish,365.546046152116,271.01428099632153,Neutral,-1
2022-02-09,42.20227662913189,Neutral,-16.903630640923268,,Neutral,0.21505048198084678,Bullish,360.3390562214939,271.8079377970608,Neutral,1
2022-02-10,38.866017885217694,Neutral,-16.26597615314506,,Neutral,-1.5080581658928778,Bearish,350.1539967025019,275.27066455238094,Neutral,-1
2022-02-11,34.14780865853561,Neutral,-16.765637925643148,,Neutral,-8.257863035094092,Bearish,346.0593253858449,273.64666826649886,Neutral,-1
2022-02-14,37.05877575179249,Neutral,-16.546978215084152,,Neutral,5.627793250053583,Bullish,338.91426136393613,274.9967341194623,Neutral,1
2022-02-15,44.8354002503348,Neutral,-14.946108497807643,,Neutral,8.98918361269348,Bullish,332.38078575871003,277.9275424883603,Neutral,1
2022-02-16,44.98597707337978,Neutral,-13.496012169259473,,Neutral,-1.4230492558261365,Bearish,328.3218254525605,279.57783580232234,Neutral,-1
2022-02-17,39.32220073547709,Neutral,-13.456921730211263,,Neutral,-5.895298274148565,Bearish,323.10882057905746,280.7935079121535,Neutral,-1
2022-02-18,37.24288999972087,Neutral,-13.788001683016546,-15.27231254634968,Bullish,-5.375081553972386,Bearish,321.95394990737947,279.0510458201596,Neutral,0
2022-02-22,33.72776276487002,Neutral,-14.832907796176357,-15.184431596315015,Bullish,-7.811344694294263,Bearish,322.59431997862583,274.79500802430385,Oversold,1
2022-02-23,28.954891011335334,Oversold,-17.011229141252443,-15.549791105302502,Bearish,-17.250796396313497,Bearish,326.47180101402006,265.7721931266049,Oversold,0
2022-02-24,35.258494569837495,Neutral,-17.547353735633635,-15.949303631368728,Bearish,-11.745316012032402,Bearish,325.7417874551909,261.94754054773875,Neutral,-1
2022-02-25,36.75569392177475,Neutral,-17.52544986966086,-16.264532879027158,Bearish,-12.16160864305447,Bearish,326.2357342192878,260.812593417431,Neutral,-1
2022-02-28,45.747503271652334,Neutral,-15.698235364441246,-16.151273376109977,Bullish,-6.606217629304735,Bearish,326.26220052962725,261.5887943434196,Neutral,0
2022-03-01,45.05716028969108,Neutral,-14.248900938463578,-15.770798888580698,Bullish,-4.441990352727271,Bearish,324.01655122037585,261.4227767825538,Neutral,0
2022-03-02,47.25248926733048,Neutral,-12.538313797373235,-15.124301870339206,Bullish,2.312792483051832,Bullish,322.09599931589423,261.63132917531675,Neutral,1
2022-03-03,42.47163327076056,Neutral,-12.134804926944184,-14.526402481660202,Bullish,-4.164386368495139,Bearish,321.0608177639968,260.4541785738938,Neutral,0
2022-03-04,42.35795221692342,Neutral,-11.706968628050447,-13.962515710938252,Bullish,-9.121558013358285,Bearish,320.42072257967243,259.33260688810105,Neutral,0
2022-03-07,38.606655781594476,Neutral,-12.134728543167455,-13.596958277384093,Bullish,-12.866719327741425,Bearish,318.67507220781033,257.12025555097875,Neutral,0
2022-03-08,41.866537212662585,Neutral,-11.804553649404511,-13.238477351788179,Bullish,-5.928001638933402,Bearish,317.0371370515518,255.99352395919038,Neutral,0
2022-03-09,47.138820737262954,Neutral,-10.492103515769543,-12.689202584584454,Bullish,0.23220964419982804,Bullish,314.45613749420835,256.4735225399714,Neutral,1
2022-03-10,44.537892016410694,Neutral,-9.893893285979118,-12.130140724863386,Bullish,2.0413119011538456,Bullish,310.56756092439207,257.2387653695532,Neutral,1
2022-03-11,39.6432097535585,Neutral,-10.454528113902825,-11.795018202671276,Bullish,4.0979567793049885,Bullish,308.659090819004,255.50723608529285,Neutral,1
2022-03-14,36.711521507209866,Neutral,-11.545230586160585,-11.74506067936914,Bullish,-4.295868173760973,Bearish,309.4040018261957,251.64132593259333,Neutral,0
2022-03-15,42.339900381400106,Neutral,-11.32369884845491,-11.660788313186293,Bullish,-0.985344689202052,Bearish,308.2237291673304,250.35926338638052,Neutral,0
2022-03-16,47.74214422069976,Neutral,-10.001602013460001,-11.328951053241036,Bullish,-3.4695543489887943,Bearish,303.82148067597757,252.02151248808494,Neutral,0
2022-03-17,51.727318223476004,Neutral,-8.017642871661735,-10.666689416925177,Bullish,0.8364486599990997,Bullish,299.886722142866,254.22993740303238,Neutral,1
2022-03-18,55.65053762237471,Neutral,-5.473390026741242,-9.62802953888839,Bullish,2.898089586187127,Bullish,301.9809212538012,253.10373755967538,Neutral,1
2022-03-21,57.391028202138955,Neutral,-2.998318157085521,-8.302087262527817,Bullish,9.754676548181932,Bullish,306.0650235977184,251.1589693222035,Overbought,1
2022-03-22,64.34865597401163,Neutral,0.9113424378288073,-6.459401322456492,Bullish,18.57233254866944,Bullish,317.14909173166814,245.8232349284881,Overbought,1
2022-03-23,64.78491671311122,Neutral,4.100493175961276,-4.347422422772939,Bullish,24.17783975005459,Bullish,325.38178907504715,245.42620653042158,Overbought,1
2022-03-24,66.07553600696431,Neutral,6.946192761435157,-2.0886993859313203,Bullish,22.98884375909947,Bullish,334.03579101425015,243.87720337051547,Overbought,1
2022-03-25,65.50296216817162,Neutral,9.009353951891512,0.13091128163324606,Bullish,17.65719561942704,Bullish,341.03139483518225,243.57393353395832,Neutral,1
2022-03-28,71.9770122325352,Overbought,12.682283075838711,2.641185640474339,Bullish,30.244545087294,Bullish,353.83450739056343,238.15115239947568,Overbought,0
2022-03-29,72.50599880865826,Overbought,15.620954630395147,5.237139438458501,Bullish,38.24983081708642,Bullish,365.2329575987994,234.59270463264596,Overbought,0
2022-03-30,71.45738307729658,Overbought,17.596938717704234,7.709099294307648,Bullish,42.74958534449021,Bullish,374.51325302158216,232.44907607998041,Neutral,1
2022-03-31,68.33139567106824,Neutral,18.50871925544942,9.869023286536002,Bullish,34.38252851967803,Bullish,381.5533806578292,233.35261604627232,Neutral,1
2022-04-01,68.95514682029204,Neutral,19.19801952576728,11.734822534382259,Bullish,29.08251568610017,Bullish,388.05158775759355,235.0644095568596,Neutral,1
2022-04-04,73.79478083627518,Overbought,21.137599570906048,13.615377941687017,Bullish,31.41923758712531,Bullish,396.82135070517234,237.6569818143589,Neutral,1
2022-04-05,64.1981750123964,Neutral,20.975377885288708,15.087377930407357,Bullish,20.529274497731027,Bullish,401.22734967026827,242.14631671156766,Neutral,1
2022-04-06,57.443436356004185,Neutral,19.39936974591012,15.94977629350791,Bullish,13.526420053264296,Bullish,403.42907449555696,246.17092550444306,Neutral,1
2022-04-07,58.628282579908486,Neutral,18.249323879389692,16.409685810684266,Bullish,6.366331420941792,Bullish,405.0666086277843,251.83206080580948,Neutral,1
2022-04-08,54.14345826616133,Neutral,16.29553282308251,16.386855213163916,Bearish,2.640341114122621,Bullish,403.31288514909784,261.2571160716053,Neutral,0
2022-04-11,47.97784380262483,Neutral,13.261246885305866,15.761733547592305,Bearish,-3.746843032458654,Bearish,397.6272994550577,273.9280350175985,Neutral,-1
